Package name,Severity,Affected version,Discloded date,Published date,FirstAffectedRelease_Date,FirstFixedRelease_Date,Disclosed VS First Affected,Published VS Disclosed
trytond,L,"[4.0.0,4.0.3]",5/9/2016,5/9/2016,2/5/2016,8/30/2016,3,0
tweepy,M,"[,2.3.1)",6/11/2012,6/11/2012,10/14/2009,4/27/2014,32,0
twilio,M,"[3.0.0,3.5.0)",5/20/2013,5/20/2013,7/15/2011,5/21/2013,22,0
twine,M,"[,1.6.0)",1/30/2015,1/30/2015,9/26/2013,9/14/2015,16,0
twisted,L,"[,14.0.1)",9/17/2014,9/17/2014,1/17/2003,9/17/2014,140,0
twisted,M,"[2.1.0,16.3.2]",7/17/2016,7/17/2016,10/10/2005,8/28/2016,129,0
ua-parser,M,"[,0.5.1)",9/22/2015,9/22/2015,12/29/2012,11/11/2015,33,0
urllib3,H,"[0,]",9/15/2017,9/17/2017,11/24/2008,,106,0
urllib3,M,"[1.17,1.18.1)",10/27/2016,10/27/2016,6/9/2016,10/27/2016,5,0
virtualenv,L,"[,1.5)",2/25/2016,2/25/2016,9/14/2007,9/14/2010,101,0
waitress,M,"[,0.8.11b0)",7/10/2015,7/10/2015,12/30/2011,3/16/2016,42,0
waitress,M,"[,1.0a1)",1/14/2015,1/14/2015,12/30/2011,6/25/2016,36,0
weblate,M,"[,2.10.1)",9/1/2017,9/1/2017,8/27/2014,1/20/2017,36,0
websocket-client,H,"[,0.33)",9/21/2015,9/21/2015,4/1/2011,10/27/2015,54,0
websocket-client,M,"[,0.33)",9/21/2015,9/21/2015,4/1/2011,10/27/2015,54,0
werkzeug,M,"[,0.11.11)",8/31/2016,8/31/2016,9/12/2007,8/31/2016,108,0
werkzeug,M,"[,0.8.3)",5/2/2012,5/2/2012,9/12/2007,5/2/2012,56,0
wger,M,"[,1.7)",9/11/2015,9/11/2015,2/23/2013,2/28/2016,31,0
widgetsnbextension,M,"[,1.2.3)",5/19/2016,5/19/2016,4/15/2016,5/25/2016,1,0
wpull,M,"[,0.1006.1)",12/24/2014,12/24/2014,7/1/2014,9/2/2015,6,0
wtforms,M,"[,2.1]",12/22/2016,12/22/2016,10/10/2009,12/15/2015,86,0
z3c.form,M,"[,3.4.0)",7/18/2016,7/18/2016,5/22/2007,11/15/2016,110,0
zms3,M,"[3.2,3.3.0)",7/28/2016,7/28/2016,10/28/2015,1/9/2016,9,0
zope_traversing,M,"[3.4,4.0.0a1)",2/24/2016,2/24/2016,9/29/2007,2/20/2013,101,0
zope2,M,"[,2.12.21), [2.13,2.13.11)",6/11/2012,6/11/2012,2/26/2009,12/12/2011,40,0
zope2,M,"[,2.13.19)",6/11/2012,6/11/2012,2/26/2009,10/31/2012,40,0
zope2,M,"[,2.13.19)",6/11/2012,6/11/2012,2/26/2009,10/31/2012,40,0
zope2,M,"[,2.8.12), [2.9,2.9.12), [2.10,2.10.22), [2.11,2.11.6), [2.12,2.12.3)",12/1/2010,12/1/2010,2/26/2009,6/2/2011,21,0
zope2,H,"[2.12,2.12.19), [2.13,2.13.8)",4/7/2011,4/7/2011,2/26/2009,6/28/2011,25,0
zope2,H,"[2.12,2.12.20), [2.13,2.13.10)",9/29/2011,9/29/2011,2/26/2009,4/10/2011,31,0
zope2,M,"[2.12,2.12.27)",6/11/2012,6/11/2012,2/26/2009,1/5/2013,40,0
zope2,M,"[2.12,2.12.27)",6/11/2012,6/11/2012,2/26/2009,1/5/2013,40,0
zope2,M,"[2.12,2.12.27), [2.13,2.13.20)",6/11/2012,6/11/2012,2/26/2009,1/5/2013,40,0
zope2,M,"[2.12,2.12.27), [2.13,2.13.20)",6/11/2012,6/11/2012,2/26/2009,1/5/2013,40,0
zope2,M,"[2.12,2.12.28), [2.13,2.13.21)",6/26/2013,6/26/2013,2/26/2009,7/16/2013,52,0
zope2,M,"[2.12,2.13.19)",11/21/2012,11/21/2012,2/26/2009,10/31/2012,45,0
zope2,M,"[2.12.0a2,2.12.26]",6/11/2012,6/11/2012,2/26/2009,10/31/2012,40,0
zope2,M,"[2.13,2.13.13)",6/26/2013,6/26/2013,6/25/2010,2/20/2012,36,0
zope2,H,"[2.13,2.13.2]",1/31/2011,1/31/2011,6/25/2010,1/19/2011,7,0
zope2,M,"[2.13,2.13.20)",11/21/2012,11/21/2012,6/25/2010,1/5/2013,29,0
zope2,M,"[2.13,2.13.21)",6/26/2013,6/26/2013,6/25/2010,7/16/2013,36,0
zope2,L,"[2.13,2.13.21)",6/26/2013,6/26/2013,6/25/2010,7/16/2013,36,0
zope2,M,"[2.13,2.13.21)",6/26/2013,6/26/2013,6/25/2010,7/16/2013,36,0
zope2,L,"[2.13,2.13.25)",9/9/2015,9/9/2015,6/25/2010,1/13/2017,62,0
zope2,L,[4.0a1],7/18/2016,7/18/2016,7/22/2016,,0,0
django,L,"[1.9,1.10.8), [1.11a1,1.11.5)",5/9/2017,6/9/2017,1/12/2015,5/9/2017,28,1
django-material-orange,M,"[,0.9.0)",8/21/2017,9/14/2017,1/18/2017,4/3/2015,7,1
flask,L,"[,0.6.1)",8/28/2017,9/14/2017,4/16/2010,12/31/2010,88,1
mistune,M,"[,0.8)",10/18/2017,11/19/2017,2/18/2014,10/26/2017,44,1
rsanic,M,"[,0.2.2)",8/29/2017,9/14/2017,2/14/2017,2/17/2017,6,1
salt,H,"[,2015.8.11)",11/28/2016,1/8/2017,5/18/2011,7/25/2016,66,1
supervisor,H,"[3.0a1,3.0.1), [3.1,3.1.4), [3.2,3.2.4), [3.3,3.3.3)",7/18/2017,8/8/2017,8/16/2007,7/24/2017,119,1
webob,M,"[,1.6.0a0)",7/10/2015,8/10/2015,8/18/2007,1/29/2016,95,1
html5lib,M,"[,0.99999999), [1.0b1,1.0b9)",2/22/2017,4/12/2017,6/30/2013,7/14/2016,44,2
products.ldapuserfolder,H,"[,2.20)",8/30/2017,10/25/2017,4/6/2008,4/5/2011,113,2
authbwc,H,"[,0.3.1)",7/21/2017,10/30/2017,11/16/2010,11/25/2010,80,3
confire,H,"[,0.2.0]",9/11/2017,11/28/2017,7/20/2014,7/31/2014,38,3
django-make-app,H,"[0,]",9/11/2017,11/28/2017,4/27/2016,,16,3
pycrypto,H,>=0.0.0,3/2/2018,6/2/2018,11/11/2002,,184,3
pyjwt,H,"[,1.5.1)",6/21/2017,9/11/2017,2/24/2011,6/22/2017,76,3
pysaml2,H,"[,4.5.0)",8/9/2017,10/30/2017,4/19/2013,11/10/2017,52,3
python-muranoclient,H,"[,0.7.3), [0.8,0.8.5)",10/8/2016,1/8/2017,9/9/2013,6/27/2016,37,3
django-basicauth,M,"[,0.4.2)",3/12/2017,7/12/2017,4/20/2015,11/27/2017,23,4
ovs,H,"[,2.7.2)",5/25/2017,9/11/2017,4/27/2015,8/25/2017,25,4
salt,H,"[,2015.8.12), [2016.3, 2016.3.5), [2016.11, 2016.11.2)",3/20/2017,7/11/2017,5/18/2011,1/30/2017,70,4
salt,H,"[,2015.8.13), [2016.3, 2016.3.5), [2016.11, 2016.11.2)",3/20/2017,7/11/2017,5/18/2011,1/30/2017,70,4
brasil.gov.portal,M,"[,1.5.1)",8/11/2017,1/22/2018,7/23/2013,11/30/2017,49,5
recurly,M,"[,2.0.6), [2.1,2.1.16), [2.2,2.2.22), [2.3,2.3.1), [2.4,2.4.5), [2.5,2.5.1), [2.6,2.6.2)",6/11/2017,11/20/2017,10/18/2011,9/11/2017,68,5
salt,H,"[2015.5, 2015.5.6), [2015.8, 2015.8.1)",2/14/2017,7/11/2017,6/5/2015,10/13/2015,20,5
scrapy,H,"[0,]",4/9/2017,9/11/2017,1/20/2010,,87,5
mlalchemy,H,"[,0.2.2)",6/11/2017,11/28/2017,1/30/2017,7/11/2017,4,6
openslides,M,"[,2.1)",1/15/2017,7/11/2017,11/27/2012,3/29/2017,50,6
ovs,H,"[,2.7.2)",3/3/2017,9/11/2017,4/27/2015,8/25/2017,22,6
owlmixin,H,"[,2.0.0a12)",6/11/2017,11/28/2017,2/1/2017,7/11/2017,4,6
pyanyapi,H,"[,0.6.1]",6/11/2017,11/28/2017,9/29/2015,,20,6
hug,H,"[,2.3.0)",4/5/2017,10/30/2017,7/17/2015,4/5/2017,21,7
radicale,M,"[,1.1.2)",4/8/2017,10/25/2017,12/4/2010,4/19/2017,76,7
girder,M,"[,2.2.0)",3/3/2017,10/30/2017,10/24/2014,3/23/2017,28,8
django-sql-explorer,M,"[,1.1.0)",12/15/2016,9/14/2017,12/30/2013,11/3/2015,35,9
onegov.form,M,"[,0.16.1)",12/22/2016,9/14/2017,3/17/2015,12/23/2016,21,9
rtv,M,"[,1.12.1)",9/27/2016,7/11/2017,3/3/2015,9/27/2016,19,9
django-anymail,M,"[,1.2.1)",2/3/2018,12/2/2018,10/3/2016,2/2/2018,16,10
pip,H,"[,1.3)",2/24/2016,1/8/2017,10/28/2008,7/3/2013,88,10
plone.app.content,M,"[,3.3.1)",8/30/2016,7/11/2017,1/3/2007,9/23/2016,116,10
django,M,"[2,2.0.2), [1.11.8,1.11.10)",1/2/2018,12/2/2018,2/12/2017,1/2/2018,11,11
ldap3,H,"[,2.4)",2/8/2017,1/22/2018,6/9/2016,11/14/2017,8,11
python-gnupg,M,"[0.3.5,0.3.6]",2/22/2016,1/8/2017,8/30/2013,7/12/2014,30,11
mockup,M,"[,2.1.3)",11/2/2016,10/25/2017,1/11/2014,2/27/2016,34,12
plone.app.discussion,M,"[,2.4.18)",9/20/2016,9/14/2017,7/7/2009,9/20/2016,86,12
plone.mockup,M,"[,1.0]",11/2/2016,10/25/2017,3/27/2015,3/27/2015,19,12
django-discord-bind,M,"[,0.2.0)",8/19/2016,9/14/2017,8/13/2016,8/19/2016,0,13
gevent,M,"[,1.2a1)",3/22/2016,4/12/2017,7/20/2009,10/27/2016,80,13
oic,M,"[,0.11.0.0)",8/5/2017,11/1/2018,7/1/2014,7/8/2017,37,15
plone,M,"[4.0,4.3.16), [5,5.1.0)",9/14/2017,12/2/2018,8/29/2010,2/15/2018,85,15
mapproxy,M,"[,1.10.4)",7/17/2017,11/2/2018,10/3/2010,8/17/2017,81,16
plone,H,"[,5.0)",2/27/2016,7/11/2017,10/10/2008,9/28/2015,89,16
pyorient,M,"[,1.4.7)",6/2/2016,10/15/2017,9/22/2014,9/2/2016,20,16
ipython,H,"[,3.2.2)",9/29/2015,4/12/2017,1/31/2006,9/22/2015,116,18
python-otr,M,"[,1.1.0)",1/20/2016,7/11/2017,1/15/2016,1/25/2016,0,18
cryptography,M,"[,1.0.2)",9/27/2015,4/12/2017,8/1/2014,9/27/2015,14,19
django-jet,M,"[,1.0.4)",3/12/2016,10/25/2017,9/8/2015,3/12/2016,6,19
gns3-gui,M,"[,1.5.1)",4/7/2016,10/30/2017,4/12/2014,7/7/2016,24,19
ipython,M,"[,3.2.2)",9/21/2015,4/12/2017,1/31/2006,9/22/2015,116,19
pytest-server-fixtures,H,"[,1.1.0)",2/15/2016,9/14/2017,12/23/2015,2/15/2016,2,19
django-initial-avatars,M,"[,0.5.0)",11/14/2015,7/11/2017,9/30/2015,11/14/2015,1,20
mistune,M,"[,0.7.2)",2/24/2016,10/15/2017,2/18/2014,2/26/2016,24,20
pytest-devpi-server,H,"[,1.1.0)",2/16/2016,10/15/2017,2/15/2016,2/15/2016,0,20
salt,M,"[,2014.7.4)",3/25/2015,1/8/2017,5/18/2011,3/30/2015,46,21
salt,H,"[2015.8,2015.8.4)",4/8/2015,1/8/2017,7/7/2015,1/28/2016,0,21
cryptography,H,"[,0.9.1)",6/6/2015,4/12/2017,8/1/2014,6/6/2015,10,22
kallithea,M,"[,0.2.1)",11/4/2015,9/11/2017,4/7/2014,4/14/2015,19,22
plone,M,"[,4.3.16), [5,5.1.0)",1/20/2017,12/2/2018,10/10/2008,2/15/2018,99,22
plone,M,"[,4.3.16),[5,5.1.0)",1/20/2017,12/2/2018,10/10/2008,2/15/2018,99,22
salt,L,"[,2015.8.3)",3/8/2015,1/8/2017,5/18/2011,1/12/2015,46,22
pypiserver,M,"[,1.1.7)",8/3/2015,7/11/2017,7/29/2011,8/3/2015,48,23
django-revproxy,M,"[,0.9.7)",9/17/2015,9/14/2017,10/24/2013,9/17/2015,23,24
pyramid,M,"[,1.6a2)",4/14/2015,4/12/2017,5/11/2010,6/30/2015,59,24
python-keystoneclient,M,"[,1.4.0)",4/17/2015,4/12/2017,6/29/2012,4/21/2015,34,24
pyjwt,M,"[,1.0.0)",3/17/2015,4/12/2017,2/24/2011,3/18/2015,49,25
django-fernet-fields,M,"[,0.3)",5/30/2015,9/14/2017,5/28/2015,5/29/2015,0,27
salt,H,"[,2015.5.5)",8/18/2015,11/29/2017,5/18/2011,8/20/2015,51,27
django-countries,M,"[,3.4)",5/13/2015,9/14/2017,12/29/2014,10/22/2015,4,28
djangorestframework,M,"[,2.3.14)",12/6/2014,4/12/2017,2/19/2011,12/6/2014,46,28
djangorestframework,M,"[2.4.0,2.4.5),[3,3.1.1)",5/23/2015,9/14/2017,8/29/2014,3/23/2015,9,28
plone.dexterity,M,"[,2.3.0)",3/13/2015,7/11/2017,7/25/2009,3/13/2015,68,28
pydal,H,"[,15.02.27)",2/26/2015,7/11/2017,12/25/2014,2/27/2015,2,28
deis,L,"[,1.4)",2/15/2015,7/11/2017,7/24/2013,3/3/2015,19,29
kallithea,H,"[,0.2)",6/4/2015,11/19/2017,4/7/2014,10/4/2015,14,29
otpauth,L,"[,1.0.1)",5/26/2015,10/30/2017,9/6/2013,5/26/2015,21,29
oauthlib,H,"[,0.7.0)",10/27/2014,4/12/2017,11/4/2012,10/27/2014,24,30
peppercorn,M,"[,0.5)",9/29/2014,7/11/2017,3/23/2010,9/29/2014,54,33
python-gnupg,H,"[,0.3.5)",4/2/2014,1/8/2017,10/1/2010,8/30/2013,42,33
ftw.mail,M,"[,2.2.3)",10/16/2014,9/14/2017,12/2/2014,10/24/2014,0,35
morepath,H,"[,0.14)",11/24/2014,10/15/2017,3/9/2013,4/26/2016,20,35
django-friendship,H,"[,1.2.0)",11/5/2014,10/30/2017,4/13/2012,9/22/2014,31,36
django-piston,H,"[,0.2.3)",11/5/2014,10/30/2017,4/29/2009,1/11/2011,66,36
keystonemiddleware,H,"[,1.5.4),[2.0,2.3.3)",1/9/2015,12/25/2017,6/19/2014,3/3/2016,7,36
djangorestframework,M,"[,2.4.4)",3/11/2014,4/12/2017,2/19/2011,3/11/2014,37,37
pycrypto,M,"[,2.6.1)",10/26/2013,1/8/2017,11/11/2002,10/17/2013,131,38
djangorestframework,M,"[,2.3.12)",1/15/2014,4/12/2017,2/19/2011,1/15/2014,35,39
docker-registry,M,"[,0.8.1)",8/26/2014,11/16/2017,5/29/2014,8/23/2014,3,39
pip,M,"[,1.5)",7/29/2013,1/8/2017,10/28/2008,2/1/2014,57,41
setuptools,M,"[,1.3)",10/28/2013,4/12/2017,5/13/2006,3/11/2013,89,41
ftw.permissionmanager,H,"[,2.2.2)",4/6/2014,11/16/2017,8/5/2012,5/6/2014,20,43
pypicloud,M,"[,0.2.2)",3/13/2014,10/25/2017,1/21/2014,3/13/2014,2,43
python-bugzilla,M,"[,0.9.0)",6/19/2013,1/8/2017,1/28/2012,1/20/2014,17,43
dpaste,M,"[,2.8)",1/8/2014,9/14/2017,11/29/2013,2/8/2014,1,44
pyramid-odesk,M,"[,1.1.2)",11/23/2013,7/11/2017,11/13/2013,11/23/2013,0,44
django-embed-video,M,"[,0.3)",12/8/2013,9/14/2017,1/6/2013,8/20/2013,11,45
pyrad,L,"[,2.1)",2/15/2013,1/8/2017,8/30/2007,,66,47
euphorie,M,"[,6.1)",10/25/2013,10/30/2017,2/23/2010,10/30/2013,44,48
setuptools,M,"[,3.0)",3/6/2013,4/12/2017,5/13/2006,8/3/2014,82,49
coveralls,M,"[,0.1.1)",2/13/2013,4/12/2017,12/2/2013,2/13/2013,0,50
defusedxml,H,"[,0.4)",2/25/2013,4/12/2017,2/19/2013,2/25/2013,0,50
defusedxml,M,"[,0.4)",2/25/2013,4/12/2017,2/19/2013,2/25/2013,0,50
djangorestframework,H,"[,2.2.1)",2/22/2013,4/12/2017,2/19/2011,2/23/2013,24,50
tracauthopenid,M,"[,0.4.4)",6/23/2013,10/25/2017,6/23/2013,6/23/2013,0,52
yubiauth,M,"[,0.2.3)",7/5/2013,10/25/2017,4/16/2013,7/5/2013,3,52
pmr2.oauth,M,"[,0.4.2)",1/31/2013,7/11/2017,10/20/2011,1/31/2013,15,53
pyopenssl,L,"[,0.13.1)",6/9/2013,1/22/2018,4/6/2008,4/9/2013,62,55
pip,M,"[,1.3)",4/1/2012,1/8/2017,10/28/2008,7/3/2013,41,57
pycrypto,M,"[,2.6)",4/19/2012,1/8/2017,11/11/2002,5/24/2012,113,57
easywidgets,M,"[,0.2dev-20150922)",1/15/2013,11/29/2017,2/3/2010,9/22/2015,35,58
vumi,H,"[,0.3.1)",9/1/2012,11/28/2017,12/3/2012,12/3/2012,0,63
django-crispy-forms,M,"[,1.1.4)",5/23/2012,9/14/2017,2/11/2011,5/24/2012,15,64
django-envelope,M,"[,0.4.1)",3/1/2012,9/14/2017,9/16/2010,3/1/2012,17,66
django-guts,M,"[,0.1.1)",12/3/2011,7/11/2017,12/3/2011,12/3/2011,0,67
werkzeug,M,"[,0.8)",9/25/2011,4/12/2017,9/12/2007,9/29/2011,48,67
yaybu,M,"[,0.1.14)",12/30/2011,9/14/2017,5/4/2011,1/1/2012,8,68
httpauth,M,"[,0.2)",1/8/2012,10/30/2017,10/7/2012,1/8/2012,0,70
oodt,M,"[,0.4)",12/13/2011,10/15/2017,11/11/2008,6/20/2012,37,70
passlib,M,"[,1.4)",3/30/2011,4/12/2017,3/25/2011,4/5/2011,0,72
products_portaltransforms,L,"[1.6.1,2.0.7)",6/6/2011,7/11/2017,9/30/2008,4/7/2011,32,73
plumi.app,H,"[,4.2.2)",6/22/2011,9/14/2017,7/24/2009,2/7/2011,23,75
pretaweb.healthcheck,M,"[,1.0)",6/24/2011,10/30/2017,6/24/2011,6/24/2011,0,76
tiddlyweb,H,"[,1.2.18)",2/22/2011,7/11/2017,7/5/2009,2/22/2011,20,77
paste,M,"[,1.7.4)",6/15/2010,4/12/2017,3/10/2005,6/24/2010,63,82
python-cjson,M,"[,1.0.5]",2/7/2010,4/12/2017,12/19/2006,8/24/2007,38,86
pywebsite,M,"[,0.1.14pre)",4/1/2010,9/14/2017,9/12/2009,4/1/2010,7,89
pygresql,H,"[,4.0)",10/14/2009,7/11/2017,5/6/2006,6/30/2009,41,93
django-haystack,M,"[,1.1)",3/24/2009,4/12/2017,11/30/2009,11/23/2010,0,97
cssutils,M,"[,0.9.6a2)",2/16/2009,4/12/2017,4/8/2007,8/3/2009,22,98
zope.html,H,"[,1.2)",6/7/2009,10/30/2017,10/29/2007,6/7/2009,19,101
beaker,M,"[,0.9.4)",3/4/2008,4/12/2017,3/13/2006,4/13/2008,24,109
paste,M,"[,1.1)",12/18/2006,4/12/2017,3/10/2005,12/18/2006,21,124
